Description	Ensembl GeneIDs
H-2 class I histocompatibility antigen, L-D alpha chain precursor-like	
RIKEN cDNA 0610040B10 gene	ENSMUSG00000089889
predicted gene 9689	ENSMUSG00000110421
RIKEN cDNA 0710001D07 gene	
predicted gene, 38417	
RIKEN cDNA 1700011L22 gene	ENSMUSG00000031682
predicted gene 9693	
predicted gene 9694	
arylacetamide deacetylase-like 2 pseudogene	ENSMUSG00000121390
predicted gene 9697	ENSMUSG00000086936
predicted gene, 20788	
RIKEN cDNA 1700020N01 gene	ENSMUSG00000050844
glyceraldehyde-3-phosphate dehydrogenase pseudogene	ENSMUSG00000098091
oligosaccharyltransferase complex subunit 4 (non-catalytic)	ENSMUSG00000038803
predicted gene 9699	
heat shock protein 1 (chaperonin) pseudogene 16	
family with sequence similarity 174, member A	ENSMUSG00000051185
predicted gene, 20789	
predicted gene 9701	ENSMUSG00000063001
predicted gene, 17761	
eukaryotic translation elongation factor 1 gamma pseudogene	
predicted gene 9703	ENSMUSG00000082741
ribsomal protein S2 pseudogene	ENSMUSG00000074250
ribosomal protein L7a pseudogene	ENSMUSG00000062758
ribonuclease H2, large subunit pseudogene	ENSMUSG00000083890
cytochrome P450, family 4, subfamily f, polypeptide 37	ENSMUSG00000062464
predicted gene 9706	
late cornified envelope 1H	ENSMUSG00000049593
DEAD (Asp-Glu-Ala-Asp) box polypeptide 18 pseudogene	ENSMUSG00000043024
centrosomal protein 83, opposite strand	
high mobility group box 2 pseudogene	ENSMUSG00000084164
predicted gene 9710	ENSMUSG00000106188
proline rich 33	ENSMUSG00000043795
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7 (B14.5a), pseudogene	
ATP synthase, H+ transporting, mitochondrial F0 complex, subunit g pseudogene	
predicted gene 9714	
RIKEN cDNA 4930528A17 gene	
tetratricopeptide repeat domain 39D	ENSMUSG00000046196
RIKEN cDNA 4930588J15 gene	ENSMUSG00000115858
RIKEN cDNA 4930579F01 gene	ENSMUSG00000012042
meiotic nuclear divisions 1 homolog pseudogene	
C-type lectin domain family 2, member J	
actin-like 8	
RIKEN cDNA 4930583K01 gene	ENSMUSG00000055159
MAS-related GPR, member A4 pseudogene	ENSMUSG00000101664
RIKEN cDNA 4930577N17 gene	ENSMUSG00000087440
RIKEN cDNA 4930589P08 gene	
RIKEN cDNA 4930578I06 gene	ENSMUSG00000021961
predicted gene 9719	
sulfotransferase family 2A, dehydroepiandrosterone (DHEA)-preferring, pseudogene 4	
sp110 nuclear body protein-like	
UDP glycosyltransferase 1 family, polypeptide A10 pseudogene	ENSMUSG00000083478
hydroxyacid oxidase 2 pseudogene	ENSMUSG00000115331
RIKEN cDNA 5830432E09 gene	ENSMUSG00000097471
inosine triphosphatase (nucleoside triphosphate pyrophosphatase) pseudogene 3	ENSMUSG00000082775
predicted gene 9722	ENSMUSG00000102546
predicted gene 12229	
predicted gene 9723	ENSMUSG00000102149
immunoglobulin kappa chain variable 8-24	ENSMUSG00000076583
RIKEN cDNA 6230424C14 gene	
immunoglobulin kappa chain variable 12-42	ENSMUSG00000105915
RIKEN cDNA 6530411M01 gene	ENSMUSG00000097049
late cornified envelope 1F	ENSMUSG00000042124
RIKEN cDNA 1700007F19 gene	ENSMUSG00000100666
solute carrier organic anion transporter family, member 6b1	ENSMUSG00000121412
cysteine rich tail 1	ENSMUSG00000036731
RIKEN cDNA 1700066D14 gene	
RIKEN cDNA 1700096J18 gene	ENSMUSG00000099630
coiled-coil domain containing 70	ENSMUSG00000017049
RIKEN cDNA 1700129C05 gene	ENSMUSG00000021977
RIKEN cDNA 1700124L16 gene	ENSMUSG00000099354
zinc finger, CCHC domain containing 10	ENSMUSG00000018239
RIKEN cDNA 2700080J24 gene	
RIKEN cDNA 4930415O11 gene	
SSX member B1	ENSMUSG00000079705
RIKEN cDNA A930013F10 gene	
RIKEN cDNA B230217C12 gene	
family with sequence similarity 120A, opposite strand	ENSMUSG00000120113
RIKEN cDNA 5031426D15 gene	
RIKEN cDNA 6720475J19 gene	
RIKEN cDNA A930005H10 gene	ENSMUSG00000054426
RIKEN cDNA A930003A15 gene	ENSMUSG00000075330
RIKEN cDNA A930006D01 gene	
RIKEN cDNA A430106A12 gene	
peptidylprolyl isomerase F, opposite strand	
RIKEN cDNA 4930534H18 gene	
RIKEN cDNA 4930591A17 gene	ENSMUSG00000039138
hydroxypyruvate isomerase (putative)	ENSMUSG00000006395
RIKEN cDNA 5330431K02 gene	
RIKEN cDNA 2900060B14 gene	ENSMUSG00000107722
RIKEN cDNA 2900060N18 gene	
RIKEN cDNA 1700040A12 gene	
RIKEN cDNA 1700039O17 gene	
RIKEN cDNA 1700019A23 gene	
family with sequence similarity 166, member A	ENSMUSG00000026969
family with sequence similarity 24, member A	ENSMUSG00000030859
RIKEN cDNA 1700082C02 gene	
RIKEN cDNA 1700102H20 gene	ENSMUSG00000116852
RIKEN cDNA 1700120K04 gene	ENSMUSG00000099579
family with sequence similarity 229, member A	ENSMUSG00000078554
RIKEN cDNA 1700123O21 gene	ENSMUSG00000101481
RIKEN cDNA A930018P22 gene	ENSMUSG00000032671
RIKEN cDNA 1700108J01 gene	ENSMUSG00000100585
RIKEN cDNA 1700112J05 gene	ENSMUSG00000086632
IQ motif containing F3	ENSMUSG00000118396,ENSMUSG00001074846
zinc finger protein 85, opposite strand	
La ribonucleoprotein 7, transcriptional regulator, pseudogene	ENSMUSG00000066107
RIKEN cDNA C630043F03 gene	ENSMUSG00000084910
RIKEN cDNA 4930565N06 gene	ENSMUSG00000084834
leucine-rich repeats and IQ motif containing 4	ENSMUSG00000027703
RIKEN cDNA 4933406F09 gene	ENSMUSG00000090585
hepatic nuclear factor 4 alpha, opposite strand	ENSMUSG00000046840
transmembrane protein 174	ENSMUSG00000046082
aspartate dehydrogenase domain containing	ENSMUSG00000038704
pleckstrin homology domain containing, family D (with coiled-coil domains) member 1, opposite strand	
RIKEN cDNA 2010204K13 gene	
RIKEN cDNA 0610031O16 gene	ENSMUSG00000099146
glutathione synthase, opposite strand 1	
RIKEN cDNA 0610040A22 gene	
RIKEN cDNA 0610042G04 gene	
RIKEN cDNA 0610039K10 gene	ENSMUSG00000058812
predicted gene, 53175	
RIKEN cDNA 0610039H22 gene	
RIKEN cDNA 0610043K17 gene	ENSMUSG00000087361
RIKEN cDNA 0710001A04 gene	
RIKEN cDNA 0710007G10 gene	
RIKEN cDNA 0710001L09 gene	
RIKEN cDNA 1200009P19 gene	
cytochrome P450, family 2, subfamily d, polypeptide 13	ENSMUSG00000118516
RIKEN cDNA 1110001M07 gene	
RIKEN cDNA 1110004M10 gene	
RIKEN cDNA 1110003F02 gene	
SRY (sex determining region Y)-box 6, opposite strand	ENSMUSG00000030664
RIKEN cDNA 1110003F10 gene	
RIKEN cDNA 1110007E10 gene	
RIKEN cDNA 1110002O04 gene	
keratin associated protein 6-5	ENSMUSG00000062400
transmembrane protein 140	ENSMUSG00000057137
RIKEN cDNA 1110002J07 gene	
RIKEN cDNA 1110008E08 gene	
myeloid-associated differentiation marker-like 2	ENSMUSG00000025141
RIKEN cDNA 1110013H19 gene	
small integral membrane protein 6	ENSMUSG00000075420
RIKEN cDNA 1110019B22 gene	
RIKEN cDNA 1110020A21 gene	ENSMUSG00000097047
CCAAT/enhancer binding protein (C/EBP), zeta, opposite strand	ENSMUSG00000062691
RIKEN cDNA 1110020C17 gene	
RIKEN cDNA 1110018F16 gene	
RIKEN cDNA 1110021P09 gene	
endothelium and lymphocyte associated ASCH domain 1	ENSMUSG00000045237
RIKEN cDNA 1110013I04 gene	
TM2 domain containing 3	ENSMUSG00000078681
RIKEN cDNA 1110025M09 gene	
RIKEN cDNA 1110025L11 gene	ENSMUSG00000068073
fibronectin type III domain containing 1	ENSMUSG00000071984
RIKEN cDNA 1110035E04 gene	
keratin associated protein 4-2	ENSMUSG00000044649
RIKEN cDNA 1110035D15 gene	
RIKEN cDNA 1110035H17 gene	
RIKEN cDNA 1110028F11 gene	
RIKEN cDNA 1110028F18 gene	ENSMUSG00000099139
late cornified envelope 1E	ENSMUSG00000068889
RIKEN cDNA 1110036E04 gene	
protein phosphatase 1, regulatory subunit 27	ENSMUSG00000025129
RIKEN cDNA 1110032F04 gene	ENSMUSG00000046999
RIKEN cDNA 1110032L06 gene	
keratin associated protein 22-2	ENSMUSG00000095992
RIKEN cDNA 1110038B12 gene	ENSMUSG00000092203
cadherin-related family member 3	ENSMUSG00000035860
keratin associated protein 4-6	ENSMUSG00000075566
RIKEN cDNA 1110058D11 gene	
RIKEN cDNA 1110055C04 gene	
RIKEN cDNA 1110059G02 gene	
tRNA methyltransferase 61B	ENSMUSG00000085492
RIKEN cDNA 1110050P16 gene	
proline rich 32	ENSMUSG00000037086
RIKEN cDNA 1110046J04 gene	ENSMUSG00000085457
RIKEN cDNA 1110060G06 gene	
LIM domain containing preferred translocation partner in lipoma, opposite strand	ENSMUSG00000119959
family with sequence similarity 240 member B	ENSMUSG00000096537
RIKEN cDNA 1110065H08 gene	
RIKEN cDNA 1110065P20 gene	ENSMUSG00000078570
RIKEN cDNA 1190001L17 gene	
RIKEN cDNA 1190001M18 gene	
RIKEN cDNA 1110018N20 gene	
RIKEN cDNA 1500002J14 gene	
RIKEN cDNA 1500012K07 gene	ENSMUSG00000097247
RIKEN cDNA 1500006G06 gene	
RIKEN cDNA 1500002I01 gene	
RIKEN cDNA 1500015A07 gene	ENSMUSG00000098702
glutamate decarboxylase 1, opposite strand	ENSMUSG00000087264
RIKEN cDNA 1500015L24 gene	ENSMUSG00000094732
RIKEN cDNA 1500026H17 gene	ENSMUSG00000097383
RIKEN cDNA 6330418K02 gene	ENSMUSG00000085227
RIKEN cDNA 1500032P08 gene	
RIKEN cDNA 1810006J02 gene	ENSMUSG00000100182
polypeptide N-acetylgalactosaminyltransferase 6, opposite strand	
nuclear protein transcriptional regulator 1 like	ENSMUSG00000095789
RIKEN cDNA 1810013D15 gene	ENSMUSG00000028177
RIKEN cDNA 1810017P11 gene	
RIKEN cDNA 1810013A23 gene	ENSMUSG00000002250
RIKEN cDNA 1810007C17 gene	ENSMUSG00000100844
RIKEN cDNA 1810007D17 gene	ENSMUSG00000100001
RIKEN cDNA 1810008B01 gene	
RIKEN cDNA 1810014P07 gene	
transmembrane protein 273	ENSMUSG00000041707
RIKEN cDNA 1810019N24 gene	ENSMUSG00000097115
RIKEN cDNA 1810012K08 gene	
RIKEN cDNA 1810009N02 gene	
RIKEN cDNA 1810015C11 gene	
RIKEN cDNA 1810015A16 gene	
RIKEN cDNA 1810012K16 gene	ENSMUSG00000099825
RIKEN cDNA 1810021B22 gene	ENSMUSG00000087331
RIKEN cDNA 2200001K16 gene	
chymotrypsin C (caldecrin), opposite strand	ENSMUSG00000086818
RIKEN cDNA 2200002J24 gene	ENSMUSG00000013083
RIKEN cDNA 1810018F18 gene	ENSMUSG00000121340
CHD2 adjacent suppressive regulatory RNA	ENSMUSG00000101970
RIKEN cDNA 1810037O21 gene	
RIKEN cDNA 1810027L02 gene	
pluripotency associated transcript 10	ENSMUSG00000099370
RIKEN cDNA 2010015B12 gene	
RIKEN cDNA 2610024L02 gene	
RIKEN cDNA 2010016I18 gene	ENSMUSG00000091575
RIKEN cDNA 2610024J18 gene	
immunoglobulin kappa chain variable 13-54-1	
RIKEN cDNA 2310081J21 gene	
immunoglobulin kappa chain variable 13-55-1	
immunoglobulin kappa chain variable 13-56-1	ENSMUSG00000106546
immunoglobulin kappa chain variable 13-57-1	ENSMUSG00000105369
immunoglobulin kappa chain variable 13-61-1	
immunoglobulin kappa chain variable 13-62-1	
trafficking protein particle complex 3 like	ENSMUSG00000071340
immunoglobulin kappa chain variable 12-66	ENSMUSG00000105110
immunoglobulin kappa chain variable 13-71-1	
immunoglobulin kappa chain variable 13-73-1	ENSMUSG00000105989
RIKEN cDNA 2610021J01 gene	
immunoglobulin kappa chain variable 13-74-1	ENSMUSG00000104922
immunoglobulin kappa chain variable 4-75	ENSMUSG00000104712
immunoglobulin kappa chain variable 13-76	ENSMUSG00000104609
immunoglobulin kappa chain variable 13-80-1	ENSMUSG00000105539
immunoglobulin kappa chain variable 13-82	ENSMUSG00000105752
immunoglobulin kappa chain variable 4-83	ENSMUSG00000076557
immunoglobulin kappa variable 13-87	
immunoglobulin kappa chain variable 1-88	ENSMUSG00000076535
immunoglobulin kappa chain variable 13-89-1	
immunoglobulin kappa chain variable 19-93	ENSMUSG00000098814
immunoglobulin kappa chain variable 2-93-1	
immunoglobulin kappa chain variable	
immunoglobulin kappa variable 2-95-2	
immunoglobulin kappa variable 10-96	ENSMUSG00000094420
immunoglobulin kappa chain variable 15-97	ENSMUSG00000105817
immunoglobulin kappa chain variable 15-101-1	
immunoglobulin kappa chain variable 15-101	ENSMUSG00000105319
immunoglobulin kappa chain variable 2-105	ENSMUSG00000106066
immunoglobulin kappa chain variable 15-102	
immunoglobulin kappa chain variable 2-113	ENSMUSG00000105463
immunoglobulin kappa chain variable	ENSMUSG00000105363
immunoglobulin kappa chain variable 11-118	ENSMUSG00000104934
immunoglobulin kappa chain variable 14-118-1	
immunoglobulin kappa chain variable 14-118-2	ENSMUSG00000106098
immunoglobulin kappa chain variable 9-119	ENSMUSG00000104575
immunoglobulin kappa chain variable 14-126-1	ENSMUSG00000106372
immunoglobulin kappa chain variable 9-128	ENSMUSG00000104742
immunoglobulin kappa variable 9-129	ENSMUSG00000093906
immunoglobulin kappa chain variable 17-134	ENSMUSG00000091268
immunoglobulin kappa chain variable 14-134-1	ENSMUSG00000104883
immunoglobulin kappa chain variable 1-136	
immunoglobulin kappa chain variable 2-137	ENSMUSG00000076501
immunoglobulin kappa variable 12-46	ENSMUSG00000076564
RIKEN cDNA 2610034E01 gene	
PDZ and pleckstrin homology domains 1	ENSMUSG00000024227
RIKEN cDNA 2610035F20 gene	ENSMUSG00000085555
RIKEN cDNA 2610029K11 gene	
RIKEN cDNA 2610030P05 gene	
RIKEN cDNA 2810411K19 gene	
RIKEN cDNA 3200001G23 gene	
RIKEN cDNA 1700001D01 gene	ENSMUSG00000099419
RIKEN cDNA 1700001J03 gene	ENSMUSG00000095040
RIKEN cDNA 1700011L03 gene	
RIKEN cDNA 1700001L05 gene	
RIKEN cDNA 1700001C07 gene	
fatty acyl CoA reductase 1, opposite strand	ENSMUSG00000084984
transmembrane and immunoglobulin domain containing 3	ENSMUSG00000000562,ENSMUSG00000074344
tescalcin-like	ENSMUSG00000055826
RIKEN cDNA 1700001G11 gene	ENSMUSG00000085984
RIKEN cDNA 1700001A13 gene	
RIKEN cDNA 1700007P06 gene	ENSMUSG00000089730
RIKEN cDNA 1700008K24 gene	ENSMUSG00000101012
family with sequence similarity 24 member B	ENSMUSG00000030858
RIKEN cDNA 1700001K23 gene	ENSMUSG00000118314
RIKEN cDNA 1700007J10 gene	ENSMUSG00000086330
RIKEN cDNA 1700012B07 gene	ENSMUSG00000020617
late cornified envelope-like proline-rich 1	ENSMUSG00000027927
RIKEN cDNA 1700012I11 gene	ENSMUSG00000102069
RIKEN cDNA 1700012C14 gene	ENSMUSG00000085470
RIKEN cDNA 1700003D09 gene	ENSMUSG00000085944
coiled-coil domain containing 54	ENSMUSG00000050685
RIKEN cDNA 1700010B09 gene	
RIKEN cDNA 1700003C15 gene	ENSMUSG00000099391
RIKEN cDNA 1700008P02 gene	ENSMUSG00000069118
RIKEN cDNA 1700003G18 gene	ENSMUSG00000087621
small integral membrane protein 23	ENSMUSG00000020270
RIKEN cDNA 1700010J16 gene	ENSMUSG00000100314
RIKEN cDNA 1700003I22 gene	ENSMUSG00000100372
cDNA sequence BC061195	ENSMUSG00000096153
cysteine-rich perinuclear theca 3	ENSMUSG00000048573
cilia and flagella associated protein 107	ENSMUSG00000028589
RIKEN cDNA 1700013A02 gene	
membrane-spanning 4-domains, subfamily A, member 20	ENSMUSG00000024729
RIKEN cDNA 1700017L05 gene	ENSMUSG00000107232
RIKEN cDNA 1700013G24 gene	ENSMUSG00000041399
transmembrane protein 89	ENSMUSG00000025652
RIKEN cDNA 1700018G05 gene	ENSMUSG00000109745
RIKEN cDNA 1700018A14 gene	
RIKEN cDNA 1700024P12 gene	
RIKEN cDNA 1700024B18 gene	ENSMUSG00000099994
RIKEN cDNA 1700018P22 gene	
RIKEN cDNA 1700018F24 gene	ENSMUSG00000029620
RIKEN cDNA 1700019A02 gene	ENSMUSG00000060715
RIKEN cDNA 1700025A08 gene	
PLAC8-like 1	ENSMUSG00000059455
RIKEN cDNA 1700019F05 gene	ENSMUSG00000107027
RIKEN cDNA 1700019E08 gene	ENSMUSG00000086202
RIKEN cDNA 1700025J12 gene	ENSMUSG00000108409
RIKEN cDNA 1700021N21 gene	ENSMUSG00000087343
RIKEN cDNA 1700025O18 gene	
RIKEN cDNA 1700016L04 gene	ENSMUSG00000019865
RIKEN cDNA 1700016P04 gene	ENSMUSG00000101894
membrane-spanning 4-domains, subfamily A, member 19	ENSMUSG00000024728
RIKEN cDNA 1700025K24 gene	ENSMUSG00000099747
RIKEN cDNA 1700026F02 gene	ENSMUSG00000101854
RIKEN cDNA 1700022H16 gene	ENSMUSG00000099360
RIKEN cDNA 1700022F17 gene	
RIKEN cDNA 1700019M22 gene	
RIKEN cDNA 1700016F12 gene	
RIKEN cDNA 1700016B15 gene	
RIKEN cDNA 1700016C15 gene	ENSMUSG00000015962
RIKEN cDNA 1700048O20 gene	ENSMUSG00000043773
RIKEN cDNA 1700022N22 gene	ENSMUSG00000097523
RIKEN cDNA 1700026J14 gene	ENSMUSG00000097716
RIKEN cDNA 1700023F02 gene	ENSMUSG00000100000
small nucleolar RNA host gene 10	ENSMUSG00000113722
RIKEN cDNA 1700020D12 gene	
RIKEN cDNA 1700020D14 gene	ENSMUSG00000101796
EF-hand calcium binding domain 15	ENSMUSG00000020940
RIKEN cDNA 1700023H06 gene	
RIKEN cDNA 1700027J07 gene	ENSMUSG00000111422
RIKEN cDNA 1700027A13 gene	
testicular germ cell expressed HSF2 interacting lncRNA	ENSMUSG00000101968
RIKEN cDNA 1700027M17 gene	
transmembrane protein 45A2	ENSMUSG00000046748
RIKEN cDNA 1700028M03 gene	ENSMUSG00000101334
keratin associated protein 4-13	ENSMUSG00000048294
transmembrane and coiled-coil domains 2	ENSMUSG00000078577
keratin associated protein 3-1	ENSMUSG00000047564
RIKEN cDNA 1700029M03 gene	ENSMUSG00000101189
RIKEN cDNA 2300009N04 gene	
RIKEN cDNA 2300009A05 gene	ENSMUSG00000032403
RIKEN cDNA 1700029J07 gene	ENSMUSG00000071103
RIKEN cDNA 2310007J06 gene	
RIKEN cDNA 1700029N11 gene	ENSMUSG00000098144
RIKEN cDNA 1700029B22 gene	ENSMUSG00000100759
RIKEN cDNA 2310007H11 gene	
embryonic testis differentiation	ENSMUSG00000060967
inversion, Chr 10, Roderick 17, proximal	
RIKEN cDNA 1700030C10 gene	ENSMUSG00000099759
late cornified envelope 3E	ENSMUSG00000074433
RIKEN cDNA 1700030E10 gene	
RIKEN cDNA 2310001K24 gene	ENSMUSG00000053353
RIKEN cDNA 2310002D06 gene	ENSMUSG00000112701
keratin associated protein 26-1	ENSMUSG00000071471
RIKEN cDNA 2310015A10 gene	
RIKEN cDNA 2310009B15 gene	ENSMUSG00000079283
RIKEN cDNA 2310033F14 gene	
RIKEN cDNA 2310015A16 gene	
RIKEN cDNA 2310015K22 gene	
RIKEN cDNA 2310016D03 gene	ENSMUSG00000102098
RIKEN cDNA 2310034O05 gene	ENSMUSG00000100157
RIKEN cDNA 2310016G11 gene	ENSMUSG00000070574
RIKEN cDNA 2310034P14 gene	
RIKEN cDNA 2310035O12 gene	
mitochondrial dynamic related lncRNA	
RIKEN cDNA 2310026I22 gene	
RIKEN cDNA 2310026L22 gene	
FERM domain containing 8, opposite strand	
RIKEN cDNA 2310020H05 gene	ENSMUSG00000100410
RIKEN cDNA 2310011C19 gene	
late cornified envelope 1D	ENSMUSG00000103243
RIKEN cDNA 2310031A07 gene	
zinc finger protein 33B	
RIKEN cDNA 2310014F06 gene	
family with sequence similarity 89, member A	ENSMUSG00000043068
placenta expressed transcript 1, opposite strand	ENSMUSG00000101304
RIKEN cDNA 2310069B03 gene	ENSMUSG00000100291
RIKEN cDNA 2310047D07 gene	
RIKEN cDNA 2310069G16 gene	ENSMUSG00000060530
RIKEN cDNA 2310061N02 gene	ENSMUSG00000050704
keratin associated protein 1-5	ENSMUSG00000047253
uroplakin 3B-like	ENSMUSG00000006143
RIKEN cDNA 2310061D13 gene	
transmembrane protein 52	ENSMUSG00000023153
ataxia, cerebellar, Cayman type, opposite strand	
RIKEN cDNA 2310043O21 gene	ENSMUSG00000102106
RIKEN cDNA 2310066D07 gene	
RIKEN cDNA 2310057B04 gene	
RIKEN cDNA 2310079G19 gene	ENSMUSG00000045331
predicted gene 10499	
RIKEN cDNA 2410003L11 gene	
RIKEN cDNA 2410018L13 gene	ENSMUSG00000073164
RIKEN cDNA 2410004I01 gene	ENSMUSG00000085338
erythrocyte membrane protein band 4.1 like 4a, opposite strand	ENSMUSG00000087590
RIKEN cDNA 2410021H03 gene	ENSMUSG00000100572
RIKEN cDNA 1500004F05 gene	
RIKEN cDNA 1600017G08 gene	
RIKEN cDNA 1600019K03 gene	ENSMUSG00000099429
RIKEN cDNA 1810019D21 gene	ENSMUSG00000086390
RIKEN cDNA 1600002D24 gene	ENSMUSG00000117232
RIKEN cDNA 1600010M07 gene	ENSMUSG00000101585
RIKEN cDNA 1600010F14 gene	
RIKEN cDNA 1600023N17 gene	ENSMUSG00000104986
RIKEN cDNA 1600027J07 gene	ENSMUSG00000110340
RIKEN cDNA 1600029I14 gene	ENSMUSG00000046242
