	Description	Ensembl GeneIDs
13547	thymosin beta 15b like	ENSMUSG00000072955
13548	coiled-coil domain containing 87	ENSMUSG00000067872
13549	LRAT domain containing 1	ENSMUSG00000072568
13553	TRPM8 channel-associated factor 3	ENSMUSG00000018656
13554	BANF family member 2	ENSMUSG00000037307
13555	Myb/SANT-like DNA-binding domain containing 1	ENSMUSG00000051246
13556	tigger transposable element derived 4	ENSMUSG00000047819
13557	phosphatidylinositol-specific phospholipase C, X domain containing 1	ENSMUSG00000064247
13558	coiled-coil domain containing 121, retrogene 1	ENSMUSG00000050625
13559	methyltransferase like 21E	ENSMUSG00000046828
13560	optic atrophy 3	ENSMUSG00000052214
13561	LY6/PLAUR domain containing 9	ENSMUSG00000052642
13562	anterior gradient 3	ENSMUSG00000036231
13563	C-type lectin domain family 3, member a	ENSMUSG00000008874
13564	GDNF family receptor alpha like	ENSMUSG00000059383
13566	vomeronasal 1 receptor 181	ENSMUSG00000097425
13569	anoctamin 7	ENSMUSG00000034107
13570	macroH2A.2 histone	ENSMUSG00000020086
13571	IQ motif containing GTPase activating protein 3	ENSMUSG00000028068
13572	immunoglobulin heavy constant gamma 2C	ENSMUSG00000076612
13574	brain expressed X-linked 4	ENSMUSG00000047844
13575	keratin 77	ENSMUSG00000067594
13576	keratin 40	ENSMUSG00000059169
13577	plasmanylethanolamine desaturase 1	ENSMUSG00000090213
13578	NADH:ubiquinone oxidoreductase core subunit S6	ENSMUSG00000021606
13579	TATA-box binding protein associated factor 9B	ENSMUSG00000047242
13580	testis expressed basic protein 1	ENSMUSG00000057246
13581	Ndufa4, mitochondrial complex associated like 2	ENSMUSG00000040280
13582	extracellular matrix protein 2, female organ and adipocyte specific	ENSMUSG00000043631
13583	cDNA sequence BC053393	ENSMUSG00000046974
13584	cDNA sequence BC031181	ENSMUSG00000036299
13585	zinc and ring finger 3	ENSMUSG00000041961
13586	bromodomain adjacent to zinc finger domain, 2B	ENSMUSG00000026987
13587	transmembrane protein 204	ENSMUSG00000024168
13588	primase and polymerase (DNA-directed)	ENSMUSG00000038225
13589	zinc finger protein 874b	ENSMUSG00000059839
13590	zinc finger protein 738	ENSMUSG00000048280
13591	serine peptidase inhibitor, Kazal type 7 (putative)	ENSMUSG00000060201
13592	actin maturation protease	ENSMUSG00000078786
13593	WD repeat domain 83 opposite strand	ENSMUSG00000059355
13594	TNFAIP3 interacting protein 3	ENSMUSG00000044162
13595	gap junction protein, alpha 6	ENSMUSG00000055691
13596	zinc finger protein 950	ENSMUSG00000074733
13597	inositol 1,4,5-triphosphate receptor interacting protein	ENSMUSG00000117975
13598	zyg-ll family member B, cell cycle regulator	ENSMUSG00000034636
13599	neuralized E3 ubiquitin protein ligase 2	ENSMUSG00000039873
13600	Na+/K+ transporting ATPase interacting 2	ENSMUSG00000069670
13601	heterogeneous nuclear ribonucleoprotein H3	ENSMUSG00000020069
13602	transmembrane protease, serine 9	ENSMUSG00000059406
13603	tektin bundle interacting protein 1	ENSMUSG00000020234
13604	cleavage and polyadenylation specific factor 6	ENSMUSG00000055531
13605	sperm antigen with calponin homology and coiled-coil domains 1	ENSMUSG00000042331
13606	dynein axonemal intermediate chain 2	ENSMUSG00000034706
13607	MFSD2 lysolipid transporter B, sphingolipid	ENSMUSG00000037336
13608	vertebrae development associated	ENSMUSG00000071235
13609	aldo-keto reductase family 1, member C19	ENSMUSG00000071551
13611	zinc finger and SCAN domain containing 26	ENSMUSG00000022228
13612	proline rich 7 (synaptic)	ENSMUSG00000034686
13613	zinc finger protein 708	ENSMUSG00000058883
13614	defensin beta 48	ENSMUSG00000075574
13615	OTU deubiquitinase with linear linkage specificity	ENSMUSG00000046034
13616	phosphatidylinositol-specific phospholipase C, X domain containing 2	ENSMUSG00000087141
13617	patatin-like phospholipase domain containing 1	ENSMUSG00000043286
13618	enolase 1B, retrotransposed	ENSMUSG00000059040
13619	cytochrome P450, family 2, subfamily c, polypeptide 68	ENSMUSG00000074882
13620	acyl-CoA synthetase long-chain family member 5	ENSMUSG00000024981
13621	neuromedin S	ENSMUSG00000067604
13622	methyltransferase like 21C	ENSMUSG00000047343
13623	sphingosine-1-phosphate phosphatase 2	ENSMUSG00000032908
13624	coiled-coil domain containing 185	ENSMUSG00000043429
13625	zinc finger E-box binding homeobox 2, opposite strand	ENSMUSG00000052248
13626	jumonji domain containing 7	ENSMUSG00000098789
13627	expressed sequence AA467197	ENSMUSG00000033213
13628	synapse differentiation inducing 1	ENSMUSG00000074736
13629	defensin beta 45	ENSMUSG00000062124
13630	BPI fold containing family B, member 9B	ENSMUSG00000067996
13631	mastermind like transcriptional coactivator 3	ENSMUSG00000061143
13632	keratinocyte expressed, proline-rich	ENSMUSG00000059832
13633	ankyrin repeat domain 13c	ENSMUSG00000039988
13634	akirin 2	ENSMUSG00000028291
13635	sperm associated antigen 8	ENSMUSG00000066196
13636	nuclear cap binding protein subunit 1	ENSMUSG00000028330
13637	mitochondrial contact site and cristae organizing system subunit 10	ENSMUSG00000050608
13638	ring finger protein 207	ENSMUSG00000058498
13639	pseudouridylate synthase-like 1	ENSMUSG00000051557
13640	nucleolar protein with MIF4G domain 1	ENSMUSG00000001569
13641	glutaredoxin, cysteine rich 1	ENSMUSG00000068082
13642	OCIA domain containing 2	ENSMUSG00000029153
13643	leucine rich repeat containing 8 family, member B	ENSMUSG00000070639
13644	family with sequence similarity 222, member A	ENSMUSG00000041930
13645	dynein, axonemal assembly factor 5	ENSMUSG00000025857
13646	transmembrane protein 178B	ENSMUSG00000057716
13647	immunoglobulin kappa chain variable 9-120	ENSMUSG00000094872
13648	immunoglobulin kappa chain variable 4-91	ENSMUSG00000076532
13649	coiled-coil domain containing 8	ENSMUSG00000041117
13650	zinc finger protein 975	ENSMUSG00000069727
13651	solute carrier family 28 (sodium-coupled nucleoside transporter), member 1	ENSMUSG00000025726
13652	WAS protein homolog associated with actin, golgi membranes and microtubules	ENSMUSG00000045795
13654	RNA exonuclease 5	ENSMUSG00000030924
13655	zinc finger protein 560	ENSMUSG00000045519
13656	predicted gene 5617	ENSMUSG00000042293
13657	aminomethyltransferase	ENSMUSG00000032607
13658	interactor of HORMAD1 1	ENSMUSG00000047220
13659	solute carrier family 22, member 28	ENSMUSG00000063590
13660	A kinase (PRKA) anchor protein 14	ENSMUSG00000036551
13661	reproductive homeobox 8	ENSMUSG00000064137
13662	reproductive homeobox 10	ENSMUSG00000053909
13663	coiled-coil domain containing 160	ENSMUSG00000073207
13664	regulator of NFKB signaling	ENSMUSG00000057615
13665	X-linked lymphocyte-regulated 4A	ENSMUSG00000079845
13666	MAGE family member B4	ENSMUSG00000035427
13667	shisa family member 8	ENSMUSG00000096883
13670	dual specificity phosphatase 29	ENSMUSG00000063821
13671	adhesion G protein-coupled receptor F2	ENSMUSG00000057899
13672	RUN and FYVE domain containing 4	ENSMUSG00000061815
13673	Fc receptor-like B	ENSMUSG00000070524
13674	Src homology 2 domain containing F	ENSMUSG00000033256
13676	transmembrane protease, serine 11c	ENSMUSG00000061184
13677	low density lipoprotein receptor-related protein 3	ENSMUSG00000001802
13678	hemoglobin beta, bh2	ENSMUSG00000078621
13679	dynein, axonemal assembly factor 3	ENSMUSG00000055809
13680	CBY1 interacting BAR domain containing 2	ENSMUSG00000042269
13681	G protein-coupled receptor 62	ENSMUSG00000091735
13682	forkhead box R2	ENSMUSG00000071665
13683	G protein-coupled receptor 31, D17Leh66b region	ENSMUSG00000071311
13684	trypsin 10	ENSMUSG00000071521
13685	Rho guanine nucleotide exchange factor (GEF) 15	ENSMUSG00000052921
13686	RAB44, member RAS oncogene family	ENSMUSG00000064147
13687	defensin beta 22	ENSMUSG00000027468
13688	nucleoporin 85	ENSMUSG00000020739
13690	X-ray radiation resistance associated 1	ENSMUSG00000035211
13691	zinc finger, HIT type 3	ENSMUSG00000020526
13692	F-box and leucine-rich repeat protein 7	ENSMUSG00000043556
13693	zinc finger protein 960	ENSMUSG00000096696
13694	zinc finger protein 213	ENSMUSG00000071256
13695	C-type lectin domain family 4, member a4	ENSMUSG00000059639
13696	zinc finger and BTB domain containing 9	ENSMUSG00000079605
13697	dynamin 3, opposite strand	ENSMUSG00000078190
13699	trace amine-associated receptor 3	ENSMUSG00000069708
13701	chromobox 6	ENSMUSG00000089715
13702	armadillo repeat containing, X-linked 5	ENSMUSG00000072969
13704	secretoglobin, family 2B, member 20	ENSMUSG00000094305
13706	X-linked Kx blood group related 4	ENSMUSG00000051951
13710	zinc finger, DHHC domain containing 18	ENSMUSG00000037553
13711	neuronal pentraxin chromo domain	ENSMUSG00000089837
13713	mitchondrial ribosomal protein S7	ENSMUSG00000046756
13714	immunoglobulin (CD79A) binding protein 1b	ENSMUSG00000046717
13715	complement factor H-related 1	ENSMUSG00000057037
13716	sacsin	ENSMUSG00000048279
13717	SAP30-like	ENSMUSG00000020519
13718	F-box protein 8	ENSMUSG00000038206
13719	F-box DNA helicase 1	ENSMUSG00000058594
13720	F-box and WD-40 domain protein 14	ENSMUSG00000105589
13721	F-box and leucine-rich repeat protein 17	ENSMUSG00000023965
13722	F-box protein 16	ENSMUSG00000034532
13723	F-box protein 17	ENSMUSG00000030598
13724	F-box protein 6	ENSMUSG00000055401
13725	F-box protein 15	ENSMUSG00000034391
13726	ATPase, class VI, type 11A	ENSMUSG00000031441
13727	ATPase, class II, type 9B	ENSMUSG00000024566
13728	5',3'-nucleotidase, cytosolic	ENSMUSG00000020736
13729	keratin associated protein 5-4	ENSMUSG00000045236
13730	polymerase (DNA directed), gamma 2, accessory subunit	ENSMUSG00000020718
13731	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated	ENSMUSG00000031848
13732	phospholipid phosphatase 2	ENSMUSG00000052151
13733	heparan sulfate 6-O-sulfotransferase 3	ENSMUSG00000053465
13734	F-box and leucine-rich repeat protein 8	ENSMUSG00000033313
13735	origin recognition complex, subunit 3	ENSMUSG00000040044
13736	SH3-binding domain glutamic acid-rich protein	ENSMUSG00000040666
13737	coatomer protein complex, subunit beta 2 (beta prime)	ENSMUSG00000032458
13739	calpain 15	ENSMUSG00000037326
13740	ring finger protein 10	ENSMUSG00000041740
13741	tropomodulin 4	ENSMUSG00000005628
13742	tropomodulin 2	ENSMUSG00000032186
13743	prolactin regulatory element binding	ENSMUSG00000045302
13744	complement component 1, s subcomponent 1	ENSMUSG00000038521
13745	complement component 1, r subcomponent A	ENSMUSG00000055172
13746	exosome component 9	ENSMUSG00000027714
13747	exosome component 10	ENSMUSG00000017264
13748	galactosamine (N-acetyl)-6-sulfate sulfatase	ENSMUSG00000015027
13749	myeloid-associated differentiation marker	ENSMUSG00000068566
13750	heterogeneous nuclear ribonucleoprotein D-like	ENSMUSG00000029328
13751	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6	ENSMUSG00000026811
13752	metastasis associated gene 2	ENSMUSG00000091510
13753	ubiquitin-like modifier activating enzyme 2	ENSMUSG00000052997
13754	programmed cell death 7	ENSMUSG00000041837
13755	membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2)	ENSMUSG00000017314
13756	cleavage and polyadenylation specific factor 2	ENSMUSG00000041781
13757	sushi-repeat-containing protein	ENSMUSG00000090084
13758	serine/arginine repetitive matrix 1	ENSMUSG00000028809
13759	cytidine 5'-triphosphate synthase	ENSMUSG00000028633
13760	RUN domain containing 3A	ENSMUSG00000006575
13761	C-type lectin domain family 4, member f	ENSMUSG00000014542
13762	microspherule protein 1	ENSMUSG00000037570
13764	transmembrane protein 141	ENSMUSG00000026939
13765	tubulin, gamma complex associated protein 4	ENSMUSG00000027263
13766	ring finger protein 24	ENSMUSG00000048911
13767	coiled-coil domain containing 39	ENSMUSG00000027676
13768	kinetochore-localized astrin/SPAG5 binding	ENSMUSG00000027331
13769	potassium channel tetramerisation domain containing 18	ENSMUSG00000054770
13770	CDK2-associated protein 2	ENSMUSG00000024856
13771	Jupiter microtubule associated homolog 2	ENSMUSG00000024165
13772	R3H domain and coiled-coil containing 1 like	ENSMUSG00000025184
13773	NUS1 dehydrodolichyl diphosphate synthase subunit	ENSMUSG00000023068
13774	uromodulin-like 1	ENSMUSG00000054134
13775	progesterone immunomodulatory binding factor 1	ENSMUSG00000022064
13776	ankyrin repeat domain 22	ENSMUSG00000024774
13777	protein phosphatase 6, regulatory subunit 3	ENSMUSG00000024908
13778	protein phosphatase 1, regulatory subunit 10	ENSMUSG00000039220
13779	RAB11 family interacting protein 5 (class I)	ENSMUSG00000051343
13780	coenzyme Q5 methyltransferase	ENSMUSG00000041733
13781	malignant fibrous histiocytoma amplified sequence 1	ENSMUSG00000070056
13782	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)	ENSMUSG00000031467
13783	coiled-coil domain containing 97	ENSMUSG00000002608
13784	potassium inwardly-rectifying channel, subfamily K, member 6	ENSMUSG00000046410
13785	transmembrane protein 222	ENSMUSG00000028857
13786	outer dense fiber of sperm tails 2-like	ENSMUSG00000028256
13787	Ras-related GTP binding D	ENSMUSG00000028278
13788	RNA binding motif protein 34	ENSMUSG00000033931
13789	anaphase promoting complex subunit 4	ENSMUSG00000029176
13790	ankyrin repeat and zinc finger domain containing 1	ENSMUSG00000026199
13791	COMM domain containing 2	ENSMUSG00000036513
13792	receptor accessory protein 1	ENSMUSG00000052852
13793	cell division cycle associated 8	ENSMUSG00000028873
13794	kelch-like 7	ENSMUSG00000028986
13795	starch binding domain 1	ENSMUSG00000047963
13796	ataxin 1-like	ENSMUSG00000069895
13797	vacuolar protein sorting 37A	ENSMUSG00000031600
13798	WW, C2 and coiled-coil domain containing 2	ENSMUSG00000031563
13799	reticulocalbin 3, EF-hand calcium binding domain	ENSMUSG00000019539
13800	adhesion G protein-coupled receptor A1	ENSMUSG00000025475
13801	macrophage immunometabolism regulator	ENSMUSG00000044768
13802	zinc finger protein 644	ENSMUSG00000049606
13803	septin 11	ENSMUSG00000058013
13804	rhophilin, Rho GTPase binding protein 2	ENSMUSG00000030494
13805	enoyl Coenzyme A hydratase domain containing 2	ENSMUSG00000028601
13806	protein phosphatase 2, regulatory subunit B, delta	ENSMUSG00000041769
13807	mitochondrial ribosomal protein L48	ENSMUSG00000030706
13808	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2	ENSMUSG00000078429
13809	cytochrome C oxidase assembly factor 3	ENSMUSG00000017188
13810	angel homolog 2	ENSMUSG00000026634
13811	calcium regulated heat stable protein 1	ENSMUSG00000008393
13812	centromere protein O	ENSMUSG00000020652
13813	DEAD box helicase 56	ENSMUSG00000004393
13814	zinc finger protein 622	ENSMUSG00000052253
13815	NHP2 ribonucleoprotein	ENSMUSG00000001056
13816	methyltransferase like 17	ENSMUSG00000004561
13817	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	ENSMUSG00000036880
13818	small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha	ENSMUSG00000004937
13819	poly (ADP-ribose) polymerase family, member 8	ENSMUSG00000021725
13820	CDC23 cell division cycle 23	ENSMUSG00000024370
13821	coiled-coil domain containing 69	ENSMUSG00000049588
13822	tRNA methyltransferase 10C, mitochondrial RNase P subunit	ENSMUSG00000044763
13823	dehydrogenase/reductase (SDR family) member 1	ENSMUSG00000002332
13824	tetraspanin 14	ENSMUSG00000037824
13825	neurocalcin delta	ENSMUSG00000051359
13826	breast cancer metastasis-suppressor 1-like	ENSMUSG00000012076
13827	adhesion G protein-coupled receptor E4	ENSMUSG00000032915
13828	CDKN2A interacting protein N-terminal like	ENSMUSG00000020392
13829	nitrilase family, member 2	ENSMUSG00000022751
13830	extended synaptotagmin-like protein 2	ENSMUSG00000021171
13831	WD repeat domain, phosphoinositide interacting 1	ENSMUSG00000041895
13832	NudC domain containing 2	ENSMUSG00000020328
13833	low density lipoprotein receptor class A domain containing 4	ENSMUSG00000024544
13834	enoyl Coenzyme A hydratase domain containing 1	ENSMUSG00000019883
13835	Rho guanine nucleotide exchange factor (GEF) 25	ENSMUSG00000019467
13836	interferon, alpha-inducible protein 27	ENSMUSG00000064215
13837	cleavage and polyadenylation specific factor 4-like	ENSMUSG00000018727
13838	non-SMC condensin II complex, subunit H2	ENSMUSG00000008690
13839	CD300 molecule like family member G	ENSMUSG00000017309
13840	methyltransferase like 2	ENSMUSG00000020691
13841	SET domain containing 3	ENSMUSG00000056770
13842	ZW10 interactor	ENSMUSG00000019923
13843	thioredoxin domain containing 17	ENSMUSG00000020803
13844	KRR1, small subunit (SSU) processome component, homolog (yeast)	ENSMUSG00000063334
13845	zinc finger protein 410	ENSMUSG00000042472
13846	solute carrier protein 52, member 2	ENSMUSG00000022560
13847	zinc finger with KRAB and SCAN domains 6	ENSMUSG00000018347
13848	coiled-coil domain containing 59	ENSMUSG00000019897
13849	coiled-coil domain containing 43	ENSMUSG00000020925
13850	anaphase promoting complex subunit 16	ENSMUSG00000020107
13851	lactate dehydrogenase D	ENSMUSG00000031958
13852	RUN and FYVE domain containing 3	ENSMUSG00000029291
13853	leucine rich adaptor protein 1-like	ENSMUSG00000048706
13854	proline-rich nuclear receptor coactivator 2	ENSMUSG00000028675
13855	thioredoxin-related transmembrane protein 4	ENSMUSG00000034723
13856	DNL-type zinc finger	ENSMUSG00000075467
13857	dysbindin (dystrobrevin binding protein 1) domain containing 2	ENSMUSG00000017734
13858	CCR4-NOT transcription complex, subunit 11	ENSMUSG00000003135
13859	small G protein signaling modulator 1	ENSMUSG00000042216
13860	mitochondrial ribosome associated GTPase 2	ENSMUSG00000039069
13861	GRAM domain containing 1A	ENSMUSG00000001248
13862	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (phosphatidylinositol synthase)	ENSMUSG00000030682
